ID,Unique_Reference,Price,Date,Postcode,House_Type,Status_N,Tenure_Type,House_Number,Flat_Number,Street_Name,Area,City,Region,County,A,A.1,Quarter,Education_Growth_Rate,Bank_Growth_Rate,GDP_Growth_Rate
3787752,{2859C1AB-7788-52B4-E063-4804A8C05948},710000,2024-07-17 00:00,N19 3JH,F,N,L,800,FLAT 1,HOLLOWAY ROAD,,LONDON,ISLINGTON,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787753,{2859C1AB-7789-52B4-E063-4804A8C05948},430000,2024-10-29 00:00,E11 3BQ,F,N,L,ST. AUGUSTINES COURT,FLAT 5,MORNINGTON ROAD,LEYTONSTONE,LONDON,WALTHAM FOREST,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787754,{2859C1AB-778A-52B4-E063-4804A8C05948},270000,2024-07-12 00:00,EN4 8HQ,F,N,L,BROOKHILL COURT,4,CAT HILL,,BARNET,BARNET,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787755,{2859C1AB-778D-52B4-E063-4804A8C05948},432000,2024-10-21 00:00,N22 8XX,F,N,L,71,,TRINITY ROAD,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787756,{2859C1AB-778F-52B4-E063-4804A8C05948},310000,2024-11-01 00:00,W13 8QJ,F,N,L,CRAIG HOUSE,FLAT 18,HARTINGTON ROAD,,LONDON,EALING,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787757,{2859C1AB-7790-52B4-E063-4804A8C05948},910000,2024-09-06 00:00,N5 1TH,F,N,L,29,FLAT 4,HIGHBURY PARK,,LONDON,ISLINGTON,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787758,{2859C1AB-7792-52B4-E063-4804A8C05948},430000,2024-03-08 00:00,NW9 5EL,T,N,F,1,,CECIL ROAD,,LONDON,BARNET,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3787759,{2859C1AC-FE12-52B4-E063-4804A8C05948},1650000,2024-06-10 00:00,N1 1LA,T,N,F,138,,LIVERPOOL ROAD,,LONDON,ISLINGTON,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787760,{2859C1AC-FE13-52B4-E063-4804A8C05948},6850000,2024-09-30 00:00,NW8 9XP,O,N,F,28,,ABERCORN PLACE,ST JOHNS WOOD,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787761,{2859C1AC-FE14-52B4-E063-4804A8C05948},485000,2024-10-25 00:00,N7 0EL,F,N,L,91B,,CARLETON ROAD,,LONDON,ISLINGTON,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787762,{2859C1AC-FE15-52B4-E063-4804A8C05948},450000,2024-10-18 00:00,N7 8EH,F,N,L,WILLOW COURT,FLAT 7,EDEN GROVE,,LONDON,ISLINGTON,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787763,{2859C1AC-FE16-52B4-E063-4804A8C05948},700000,2024-07-22 00:00,W2 1JE,F,N,L,"PENINSULA APARTMENTS, 4",FLAT 312,PRAED STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787764,{2859C1AC-FE17-52B4-E063-4804A8C05948},2000000,2024-04-03 00:00,W1H 5PT,F,N,L,"RICHBOURNE COURT, 9",FLAT 38,HARROWBY STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787765,{2859C1AC-FE18-52B4-E063-4804A8C05948},462000,2024-06-28 00:00,NW2 4RT,F,N,L,132,FIRST FLOOR FLAT,WALM LANE,,LONDON,BRENT,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787766,{2859C1AC-FE19-52B4-E063-4804A8C05948},320000,2024-09-25 00:00,NW1 1TN,F,N,L,43A,,CROWNDALE ROAD,,LONDON,CAMDEN,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787767,{2859C1AC-FE1A-52B4-E063-4804A8C05948},850000,2024-06-04 00:00,NW3 1JP,O,N,L,28,LOFT SPACE,GROVE PLACE,,LONDON,CAMDEN,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787768,{2859C1AC-FE1B-52B4-E063-4804A8C05948},1175000,2024-05-31 00:00,N12 8RT,S,N,F,43,,WOODSIDE PARK ROAD,,LONDON,BARNET,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787769,{2859C1AC-FE1C-52B4-E063-4804A8C05948},325000,2024-10-21 00:00,HA1 2LT,F,N,L,45B,,GAYTON ROAD,,HARROW,HARROW,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787770,{2859C1AC-FE1D-52B4-E063-4804A8C05948},1100000,2024-03-22 00:00,W1F 7JL,O,N,L,44 - 45,UNIT A3,GREAT MARLBOROUGH STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
3787771,{2859C1AC-FE1E-52B4-E063-4804A8C05948},415000,2024-06-24 00:00,W2 2BY,F,N,L,PORTSEA HALL,FLAT 77,PORTSEA PLACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787772,{2859C1AC-FE1F-52B4-E063-4804A8C05948},260000,2024-06-11 00:00,HA1 2JR,F,N,L,14A,,BONNERSFIELD LANE,,HARROW,HARROW,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787773,{2859C1AC-FE20-52B4-E063-4804A8C05948},4050000,2024-03-20 00:00,SW7 1LB,F,N,F,12,,TREVOR PLACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
3787774,{2859C1AC-FE21-52B4-E063-4804A8C05948},250000,2024-10-30 00:00,HA2 8LA,F,N,L,35,,PARKFIELD ROAD,,HARROW,HARROW,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787775,{2859C1AC-FE22-52B4-E063-4804A8C05948},340000,2024-10-29 00:00,NW6 1ED,F,N,L,25,FLAT 2,ULYSSES ROAD,,LONDON,CAMDEN,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787776,{2859C1AC-FE23-52B4-E063-4804A8C05948},372500,2024-04-04 00:00,W2 3QD,O,N,L,9,GROUND FLOOR PREMISES,CRAVEN TERRACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787777,{2859C1AC-FE24-52B4-E063-4804A8C05948},655000,2024-10-29 00:00,NW1 9UP,F,N,L,19,,ABINGDON CLOSE,,LONDON,CAMDEN,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787778,{2859C1AC-FE25-52B4-E063-4804A8C05948},3400000,2024-03-28 00:00,W2 5DA,F,N,L,15,"GROUND, FIRST, SECOND & THIRD FLOOR FLAT",ARTESIAN ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
3787779,{2859C1AC-FE26-52B4-E063-4804A8C05948},3400000,2024-03-28 00:00,W2 5DA,F,N,L,15,GROUND FLOOR FLAT,ARTESIAN ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
3787780,{2859C1AC-FE27-52B4-E063-4804A8C05948},425000,2024-07-31 00:00,HA7 4PL,F,N,L,DANEGLEN COURT,179,LONDON ROAD,,STANMORE,HARROW,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787781,{2859C1AC-FE28-52B4-E063-4804A8C05948},570000,2024-11-01 00:00,NW1 0QX,F,N,L,"STAR WHARF, 40",FLAT 2,ST PANCRAS WAY,,LONDON,CAMDEN,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787782,{2859C1AC-FE29-52B4-E063-4804A8C05948},17483200,2024-05-31 00:00,NW3 1QN,O,N,F,WELLS COURT,FLAT 1,ORIEL PLACE,,LONDON,CAMDEN,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787783,{2859C1AC-0403-52B4-E063-4804A8C05948},460000,2024-10-30 00:00,DA7 5PS,T,N,F,73,,BEDONWELL ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787784,{2859C1AC-0407-52B4-E063-4804A8C05948},700000,2024-09-30 00:00,DA15 9BS,S,N,F,3,,CHATSWORTH AVENUE,,SIDCUP,BEXLEY,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787785,{2859C1AC-040B-52B4-E063-4804A8C05948},617500,2024-06-28 00:00,DA7 5QF,S,N,F,84,,STAPLETON ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787786,{2859C1AC-040E-52B4-E063-4804A8C05948},542000,2024-07-12 00:00,BR3 3RT,T,N,F,88,,AVIEMORE WAY,,BECKENHAM,BROMLEY,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787787,{2859C1AC-0641-52B4-E063-4804A8C05948},665000,2024-11-07 00:00,BR6 9BL,S,N,F,4,,PENDENNIS ROAD,,ORPINGTON,BROMLEY,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787788,{2859C1AC-0649-52B4-E063-4804A8C05948},490000,2024-07-22 00:00,BR2 8NP,S,N,F,26,,JACKSON ROAD,,BROMLEY,BROMLEY,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787789,{2859C1AC-08C3-52B4-E063-4804A8C05948},785000,2024-10-25 00:00,BR5 1JU,S,N,F,65,,PETTS WOOD ROAD,PETTS WOOD,ORPINGTON,BROMLEY,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787790,{2859C1AC-0B01-52B4-E063-4804A8C05948},355000,2024-06-12 00:00,DA14 5AN,S,N,F,155,,MAIDSTONE ROAD,,SIDCUP,BEXLEY,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787791,{2859C1AB-8064-52B4-E063-4804A8C05948},605000,2024-10-04 00:00,W14 0BP,F,N,L,71,BASEMENT FLAT,NETHERWOOD ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787792,{2859C1AB-8065-52B4-E063-4804A8C05948},500000,2024-10-28 00:00,E11 2EL,F,N,L,27,,THE SHRUBBERY,,LONDON,REDBRIDGE,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787793,{2859C1AB-8066-52B4-E063-4804A8C05948},285000,2024-10-04 00:00,E18 2JE,F,N,L,"CHERRY TREE COURT, 54",FLAT 4,GROVE HILL,SOUTH WOODFORD,LONDON,REDBRIDGE,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787794,{2859C1AB-8067-52B4-E063-4804A8C05948},662500,2024-10-23 00:00,SW6 5RG,F,N,L,95,GROUND FLOOR FLAT,MUNSTER ROAD,FULHAM,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787795,{2859C1AB-8068-52B4-E063-4804A8C05948},485000,2024-01-26 00:00,RM13 9JU,S,N,F,18A,,FARM ROAD,,RAINHAM,HAVERING,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3787796,{2859C1AB-8069-52B4-E063-4804A8C05948},810000,2024-08-15 00:00,SW6 7JF,S,N,F,"FILMER ROAD STUDIOS, 75",UNIT 9,FILMER ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787797,{2859C1AB-806A-52B4-E063-4804A8C05948},1363000,2024-08-09 00:00,W8 5QW,F,N,L,COTTESMORE COURT,54,STANFORD ROAD,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787798,{2859C1AB-806B-52B4-E063-4804A8C05948},625000,2024-10-25 00:00,W6 8LY,F,N,L,43,FIRST FLOOR FLAT,TASSO ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787799,{2859C1AB-806C-52B4-E063-4804A8C05948},570000,2024-10-25 00:00,SW6 2UA,F,N,L,272,,WANDSWORTH BRIDGE ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787800,{2859C1AB-806D-52B4-E063-4804A8C05948},770000,2024-08-06 00:00,W8 4RZ,F,N,L,7,BASEMENT FLAT AT,STRATHMORE GARDENS,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787801,{2859C1AB-806F-52B4-E063-4804A8C05948},395000,2024-11-18 00:00,W12 8BN,F,N,L,8,SECOND FLOOR FLAT,STOWE ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787802,{2859C1AB-8070-52B4-E063-4804A8C05948},280000,2024-11-14 00:00,E11 2FA,F,N,L,"PRISSARD HOUSE, 84A",FLAT 4,GARDNER CLOSE,,LONDON,REDBRIDGE,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787803,{2859C1AB-8072-52B4-E063-4804A8C05948},792000,2024-07-04 00:00,SW3 2NT,F,N,L,68,,WILTSHIRE CLOSE,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787804,{2859C1AB-8073-52B4-E063-4804A8C05948},195000,2024-10-28 00:00,RM13 9NF,F,N,L,37,,LESTON CLOSE,,RAINHAM,HAVERING,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787805,{2859C1AB-8074-52B4-E063-4804A8C05948},610000,2024-06-28 00:00,SW7 3BB,F,N,L,11,FLAT 2,CRANLEY GARDENS,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787806,{2859C1AB-8075-52B4-E063-4804A8C05948},1410000,2024-05-30 00:00,W8 4PD,F,N,L,"OLD COURT HOUSE, 24",FLAT 17,OLD COURT PLACE,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787807,{2859C1AB-8076-52B4-E063-4804A8C05948},307000,2024-10-30 00:00,E11 3RZ,F,N,L,5,,ALDERS CLOSE,,LONDON,REDBRIDGE,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787808,{2859C1AB-8077-52B4-E063-4804A8C05948},8500000,2024-03-20 00:00,W11 2LE,T,N,F,95,,LANSDOWNE ROAD,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
3787809,{2859C1AB-8078-52B4-E063-4804A8C05948},575000,2024-11-21 00:00,W12 7JQ,F,N,L,91,FLAT 1,FRITHVILLE GARDENS,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787810,{2859C1AB-8079-52B4-E063-4804A8C05948},505000,2024-10-25 00:00,E18 1BN,F,N,L,17A,,EASTWOOD ROAD,,LONDON,REDBRIDGE,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787811,{2859C1AB-807A-52B4-E063-4804A8C05948},250000,2024-10-30 00:00,IG3 8LH,S,N,L,63A,,NORFOLK ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787812,{2859C1AB-807B-52B4-E063-4804A8C05948},590000,2024-01-31 00:00,SW3 3TS,F,N,L,DAVER COURT,FLAT 30,CHELSEA MANOR STREET,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3787813,{2859C1AB-807C-52B4-E063-4804A8C05948},284750,2024-10-30 00:00,IG2 7HY,F,N,L,828,,EASTERN AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787814,{2859C1AB-807D-52B4-E063-4804A8C05948},275000,2024-07-29 00:00,E18 2JU,F,N,L,"EATON COURT, 111",FLAT 35,HIGH ROAD,SOUTH WOODFORD,LONDON,REDBRIDGE,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787815,{2859C1AB-8080-52B4-E063-4804A8C05948},1300000,2024-11-01 00:00,W11 4JG,F,N,L,103C,,CLARENDON ROAD,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787816,{2859C1AB-8081-52B4-E063-4804A8C05948},530000,2024-07-05 00:00,W6 0NP,F,N,L,189C,,HAMMERSMITH GROVE,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787817,{2859C1AB-8082-52B4-E063-4804A8C05948},225000,2024-03-19 00:00,RM12 6NL,F,N,L,19,,HUTCHINS CLOSE,,HORNCHURCH,HAVERING,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3787818,{2859C1AB-8083-52B4-E063-4804A8C05948},215000,2024-07-17 00:00,RM12 6NL,F,N,L,27,,HUTCHINS CLOSE,,HORNCHURCH,HAVERING,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787819,{2859C1AC-FE2A-52B4-E063-4804A8C05948},17483200,2024-05-31 00:00,NW3 1QN,O,N,F,WELLS COURT,FLAT 1,ORIEL PLACE,,LONDON,CAMDEN,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787820,{2859C1AC-FE2B-52B4-E063-4804A8C05948},4000000,2024-02-29 00:00,W1S 4JW,F,N,L,47,FOURTH AND FIFTH FLOOR FLAT,ALBEMARLE STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
3787821,{2859C1AC-FE2D-52B4-E063-4804A8C05948},3100000,2024-03-27 00:00,SW1W 8PD,O,N,F,6,,RANELAGH GROVE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
3787822,{2859C1AC-FE2E-52B4-E063-4804A8C05948},475000,2024-11-01 00:00,NW2 3RA,F,N,L,8E,,MINSTER ROAD,,LONDON,CAMDEN,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787823,{2859C1AC-FE2F-52B4-E063-4804A8C05948},375000,2024-06-25 00:00,UB7 0HU,T,N,F,371,,SIPSON ROAD,SIPSON,WEST DRAYTON,HILLINGDON,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787824,{2859C1AC-FE30-52B4-E063-4804A8C05948},440000,2024-11-05 00:00,W9 3NN,F,N,L,22 - 24,FLAT 10,GREAT WESTERN ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787825,{2859C1AC-FE31-52B4-E063-4804A8C05948},740000,2024-03-15 00:00,W2 3TL,F,N,L,6,FLAT 15,PORCHESTER TERRACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
3787826,{2859C1AC-FE32-52B4-E063-4804A8C05948},385000,2024-10-30 00:00,W2 4QR,F,N,L,QUEENS COURT,FLAT 88,QUEENSWAY,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787827,{2859C1AD-0339-52B4-E063-4804A8C05948},370000,2024-07-04 00:00,RM7 0AA,T,N,F,135,,WATERLOO ROAD,,ROMFORD,HAVERING,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787828,{2859C1AD-033B-52B4-E063-4804A8C05948},550000,2024-08-07 00:00,KT3 6DL,T,N,F,50,,CROMWELL AVENUE,,NEW MALDEN,KINGSTON UPON THAMES,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787829,{2859C1AD-033C-52B4-E063-4804A8C05948},450000,2024-10-23 00:00,DA16 3QH,S,N,F,5,,RUSKIN DRIVE,,WELLING,BEXLEY,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787830,{2859C1AD-033D-52B4-E063-4804A8C05948},656100,2024-10-08 00:00,KT6 7JP,S,N,F,13,,CRANBORNE AVENUE,,SURBITON,KINGSTON UPON THAMES,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787831,{2859C1AD-033E-52B4-E063-4804A8C05948},500000,2024-09-18 00:00,KT6 7PA,S,N,F,128,,LARGEWOOD AVENUE,,SURBITON,KINGSTON UPON THAMES,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787832,{2859C1AD-033F-52B4-E063-4804A8C05948},468000,2024-10-29 00:00,HA8 6EU,S,N,F,29,,METHUEN ROAD,,EDGWARE,HARROW,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787833,{2859C1AD-0340-52B4-E063-4804A8C05948},555000,2024-10-04 00:00,HA3 9LU,S,N,F,46,,MORLAND ROAD,,HARROW,HARROW,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787834,{2859C1AD-0342-52B4-E063-4804A8C05948},10000,2024-11-14 00:00,NW7 4SG,O,N,F,DAWLISH COURT,FLAT 1,DAWS LANE,,LONDON,BARNET,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787835,{2859C1AD-05CE-52B4-E063-4804A8C05948},325000,2024-05-31 00:00,CR0 6DA,S,N,F,18,,DAVIDSON ROAD,,CROYDON,CROYDON,GREATER LONDON,B,A,2024 Q2,1.6,-0.25,0.5
3787836,{2859C1AD-05CF-52B4-E063-4804A8C05948},285000,2024-07-26 00:00,SM4 5DB,F,N,L,"WINDINGS HOUSE, 23",FLAT 30,SCHOOLGATE DRIVE,,MORDEN,MERTON,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787837,{2859C1AD-05D0-52B4-E063-4804A8C05948},390000,2024-10-24 00:00,KT9 2AN,F,N,L,104,,GILDERS ROAD,,CHESSINGTON,KINGSTON UPON THAMES,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787838,{2859C1AD-05D1-52B4-E063-4804A8C05948},392000,2024-09-06 00:00,CR0 6TQ,T,N,L,18,,ADDISCOMBE COURT ROAD,,CROYDON,CROYDON,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787839,{2859C1AD-05D3-52B4-E063-4804A8C05948},232500,2024-07-17 00:00,BR5 2HE,F,N,L,7A,FIRST FLOOR FLAT,STANLEY WAY,,ORPINGTON,BROMLEY,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787840,{2859C1AD-05D4-52B4-E063-4804A8C05948},430000,2024-11-01 00:00,CR4 3GN,D,N,F,1,,BRICKFIELD ROAD,,MITCHAM,MERTON,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787841,{2859C1AD-05D5-52B4-E063-4804A8C05948},1136000,2024-07-28 00:00,SM6 0HN,D,N,F,4,,HOLMWOOD GARDENS,,WALLINGTON,SUTTON,GREATER LONDON,B,A,2024 Q3,1.6,-0.25,0.1
3787842,{2859C1AD-05D6-52B4-E063-4804A8C05948},198000,2024-10-16 00:00,CR0 2FB,F,N,L,1,FLAT 1,NEWGATE,,CROYDON,CROYDON,GREATER LONDON,B,A,2024 Q4,1.6,0.3,0.1
3787843,{2859C1AD-05D7-52B4-E063-4804A8C05948},3300000,2024-02-12 00:00,CR0 1LD,O,N,F,67,,GEORGE STREET,,CROYDON,CROYDON,GREATER LONDON,B,A,2024 Q1,1.6,0.25,0.7
