Region,House_Type,Year,Price,Growth
Barking And Dagenham,S,2021,410235.7333,11.21559079
Barking And Dagenham,S,2022,431732.0574,5.239993091
Barking And Dagenham,S,2023,430341.7416,-0.322032107
Barking And Dagenham,S,2024,422914.7642,-1.72583245
Barking And Dagenham,T,1995,52625.72508,
Barking And Dagenham,T,1996,53604.74365,1.860342203
Barking And Dagenham,T,1997,58909.91056,9.89682359
Barking And Dagenham,T,1998,65735.26183,11.58608323
Barking And Dagenham,T,1999,73033.65981,11.10271378
Barking And Dagenham,T,2000,88968.7809,21.81887247
Barking And Dagenham,T,2001,99102.00918,11.38964498
Barking And Dagenham,T,2002,125037.1284,26.17012451
Barking And Dagenham,T,2003,152960.1238,22.33176317
Barking And Dagenham,T,2004,170921.2895,11.74238439
Barking And Dagenham,T,2005,176310.4549,3.153010068
Barking And Dagenham,T,2006,180717.008,2.499314686
Barking And Dagenham,T,2007,199190.9332,10.22257139
Barking And Dagenham,T,2008,202671.0405,1.747121368
Barking And Dagenham,T,2009,175609.8988,-13.35224889
Barking And Dagenham,T,2010,187531.376,6.78861347
Barking And Dagenham,T,2011,188539.2379,0.53743641
Barking And Dagenham,T,2012,192744.826,2.230616899
Barking And Dagenham,T,2013,201288.2364,4.432497907
Barking And Dagenham,T,2014,230978.9674,14.75035578
Barking And Dagenham,T,2015,266469.1425,15.36511117
Barking And Dagenham,T,2016,313307.6789,17.57747107
Barking And Dagenham,T,2017,321465.9316,2.603910869
Barking And Dagenham,T,2018,328445.8006,2.17126243
Barking And Dagenham,T,2019,331374.3148,0.891627831
Barking And Dagenham,T,2020,343199.193,3.568435363
Barking And Dagenham,T,2021,362524.0953,5.630812265
Barking And Dagenham,T,2022,392370.0151,8.232809948
Barking And Dagenham,T,2023,394973.3031,0.663477826
Barking And Dagenham,T,2024,385155.8345,-2.485603072
Barnet,D,1995,298024.8257,
Barnet,D,1996,284338.3462,-4.592395778
Barnet,D,1997,361473.3984,27.12791057
Barnet,D,1998,404038.0038,11.77530783
Barnet,D,1999,444283.3202,9.960774989
Barnet,D,2000,491922.7623,10.72276178
Barnet,D,2001,580107.7013,17.92658233
Barnet,D,2002,620061.7041,6.887342263
Barnet,D,2003,694865.2512,12.0638876
Barnet,D,2004,760122.5391,9.39135866
Barnet,D,2005,821904.7897,8.127932992
Barnet,D,2006,845998.8207,2.931486871
Barnet,D,2007,945747.2216,11.79060756
Barnet,D,2008,1136261.075,20.14426787
Barnet,D,2009,936125.6571,-17.61350648
Barnet,D,2010,1142942.297,22.09282896
Barnet,D,2011,1073604.802,-6.06657882
Barnet,D,2012,1076428.135,0.262976906
Barnet,D,2013,1254107.159,16.50635267
Barnet,D,2014,1340328.612,6.875126424
Barnet,D,2015,1309857.076,-2.273437643
Barnet,D,2016,1263230.514,-3.55966794
Barnet,D,2017,1485736.363,17.61403378
Barnet,D,2018,1418732.168,-4.50983075
Barnet,D,2019,1417493.632,-0.08729882
Barnet,D,2020,1596155.533,12.60407081
Barnet,D,2021,1560402.869,-2.239923522
Barnet,D,2022,2031104.202,30.16537214
Barnet,D,2023,1898498.629,-6.528742955
Barnet,D,2024,1833728.179,-3.411666963
Barnet,F,1995,68701.18113,
Barnet,F,1996,70413.24502,2.492044342
Barnet,F,1997,80739.67921,14.66547122
Barnet,F,1998,87342.76869,8.178245875
Barnet,F,1999,106723.5104,22.1892917
Barnet,F,2000,129036.8445,20.90760883
Barnet,F,2001,142760.7996,10.63568717
Barnet,F,2002,173351.3157,21.42781223
Barnet,F,2003,200297.9215,15.54450609
Barnet,F,2004,218078.2548,8.876943474
Barnet,F,2005,211515.7389,-3.009248174
Barnet,F,2006,221096.9597,4.52979095
Barnet,F,2007,250414.939,13.26023631
Barnet,F,2008,264023.7925,5.434521416
Barnet,F,2009,253497.0466,-3.987044425
Barnet,F,2010,262715.9766,3.636701152
Barnet,F,2011,277659.1946,5.687974563
Barnet,F,2012,290882.7556,4.762515081
Barnet,F,2013,296880.3185,2.061848927
Barnet,F,2014,336234.514,13.25591258
Barnet,F,2015,387527.0289,15.25498208
Barnet,F,2016,410626.8638,5.960831943
Barnet,F,2017,444013.2808,8.130597369
Barnet,F,2018,453149.1421,2.057564874
Barnet,F,2019,423881.1782,-6.458792738
Barnet,F,2020,429783.0262,1.392335454
Barnet,F,2021,435383.3478,1.303057883
Barnet,F,2022,464172.97,6.612476656
Barnet,F,2023,472877.4782,1.875272533
Barnet,F,2024,483949.2151,2.341354234
Barnet,O,2004,1200,
Barnet,O,2006,4000,233.3333333
Barnet,O,2007,9500,137.5
Barnet,O,2012,555000,5742.105263
Barnet,O,2013,4774692.8,760.305009
Barnet,O,2014,735435.0441,-84.59722803
Barnet,O,2015,2344361.14,218.7720192
Barnet,O,2016,1417069.191,-39.55414263
Barnet,O,2017,1596895.997,12.69005125
Barnet,O,2018,2029232.776,27.07357144
Barnet,O,2019,1861803.355,-8.250873089
Barnet,O,2020,1343617.275,-27.83248177
Barnet,O,2021,2100719.662,56.34806877
Barnet,O,2022,1466672.052,-30.18239991
Barnet,O,2023,1318806.371,-10.08171396
Barnet,O,2024,1686168.703,27.85566857
Barnet,S,1995,123766.0933,
Barnet,S,1996,133160.3757,7.590352232
Barnet,S,1997,156008.4455,17.15830978
Barnet,S,1998,178456.4834,14.38898893
Barnet,S,1999,202756.1532,13.61657995
Barnet,S,2000,250066.857,23.33379434
Barnet,S,2001,262393.4726,4.929327989
Barnet,S,2002,314730.8758,19.94615289
Barnet,S,2003,339108.9074,7.745675272
Barnet,S,2004,368984.4176,8.810004565
Barnet,S,2005,379528.1663,2.857505148
Barnet,S,2006,411808.9626,8.505507401
Barnet,S,2007,473414.3387,14.95969775
Barnet,S,2008,497120.4215,5.00747037
Barnet,S,2009,444746.0097,-10.53555829
Barnet,S,2010,510472.2752,14.77838228
Barnet,S,2011,528294.0261,3.491227982
Barnet,S,2012,566233.6781,7.18154099
Barnet,S,2013,602969.2465,6.487704605
Barnet,S,2014,681424.3547,13.01146097
Barnet,S,2015,709486.3208,4.118133716
Barnet,S,2016,774822.1376,9.208890279
Barnet,S,2017,798775.7921,3.091503623
Barnet,S,2018,798355.3163,-0.052640032
Barnet,S,2019,775829.3939,-2.821540972
Barnet,S,2020,791444.7218,2.012727025
Barnet,S,2021,855881.0172,8.14160403
Barnet,S,2022,922488.3961,7.782317587
Barnet,S,2023,916300.196,-0.670816038
Barnet,S,2024,872251.3457,-4.807250987
Barnet,T,1995,96706.68391,
Barnet,T,1996,97210.87106,0.52135708
Barnet,T,1997,120703.3057,24.16646859
Barnet,T,1998,136486.2769,13.07584012
Barnet,T,1999,154134.7544,12.93058753
Barnet,T,2000,180185.0661,16.90099795
Barnet,T,2001,199876.6244,10.92851847
Barnet,T,2002,232664.7904,16.40420241
Barnet,T,2003,263945.5147,13.4445458
Barnet,T,2004,274001.689,3.809943239
Barnet,T,2005,288138.0676,5.159230448
Barnet,T,2006,305241.0892,5.935703577
Barnet,T,2007,342716.7978,12.27741282
Barnet,T,2008,336252.9618,-1.886057539
Barnet,T,2009,328979.3333,-2.163141827
Barnet,T,2010,377788.6772,14.8365988
Barnet,T,2011,380950.4856,0.836925154
Barnet,T,2012,399320.8242,4.822237868
Barnet,T,2013,432570.9903,8.326679716
Barnet,T,2014,508827.5233,17.62867476
Barnet,T,2015,566559.6251,11.34610437
Barnet,T,2016,594603.8946,4.949923761
Barnet,T,2017,603254.0811,1.454781331
Barnet,T,2018,614943.5202,1.937730626
Barnet,T,2019,619746.1727,0.780990834
Barnet,T,2020,629079.4345,1.505981354
Barnet,T,2021,684358.0777,8.787227843
Barnet,T,2022,720232.1356,5.242001082
Barnet,T,2023,674879.066,-6.297007216
Barnet,T,2024,698456.3648,3.493559072
Bexley,D,1995,126048.4161,
Bexley,D,1996,139858.6402,10.95628524
Bexley,D,1997,142730.8489,2.05365128
Bexley,D,1998,167365.2323,17.25932659
Bexley,D,1999,191018.9436,14.13298987
Bexley,D,2000,227668.9701,19.18659262
Bexley,D,2001,254465.7725,11.7700723
Bexley,D,2002,281441.6264,10.60097535
Bexley,D,2003,308823.3072,9.729079948
Bexley,D,2004,324620.0915,5.115152895
Bexley,D,2005,349807.7302,7.759112657
Bexley,D,2006,373471.0068,6.764652281
Bexley,D,2007,390332.7112,4.514863036
Bexley,D,2008,384702.288,-1.442467677
Bexley,D,2009,373624.9203,-2.879464993
Bexley,D,2010,394782.6138,5.662816465
Bexley,D,2011,384064.9277,-2.714832343
Bexley,D,2012,402613.082,4.829431931
Bexley,D,2013,398608.0698,-0.994754612
Bexley,D,2014,443079.2189,11.15661033
Bexley,D,2015,491153.0852,10.84994834
Bexley,D,2016,555745.9747,13.15127431
Bexley,D,2017,569333.2792,2.444876818
Bexley,D,2018,574996.15,0.994649535
Bexley,D,2019,601723.5492,4.648274466
Bexley,D,2020,601968.0905,0.040640129
Bexley,D,2021,638856.5704,6.12797929
Bexley,D,2022,685639.2026,7.322869396
Bexley,D,2023,679039.4258,-0.962572853
Bexley,D,2024,703238.7097,3.563752405
Bexley,F,1995,44370.05063,
Bexley,F,1996,44813.39807,0.999204262
Bexley,F,1997,47848.01887,6.771681972
Bexley,F,1998,51700.49767,8.051490736
Bexley,F,1999,57253.97002,10.7416226
Bexley,F,2000,68475.28205,19.59918593
Bexley,F,2001,78086.00894,14.03532282
Bexley,F,2002,100318.1238,28.47131662
Bexley,F,2003,121815.2616,21.42896722
Bexley,F,2004,129058.9083,5.946419656
Bexley,F,2005,137297.7208,6.383761145
Bexley,F,2006,140625.3777,2.423679699
Bexley,F,2007,152340.868,8.330992938
Bexley,F,2008,155968.842,2.381484399
Bexley,F,2009,145066.1774,-6.990283769
Bexley,F,2010,145084.0975,0.012353034
Bexley,F,2011,140979.741,-2.828949894
Bexley,F,2012,148791.0877,5.54075827
Bexley,F,2013,155259.2205,4.347123794
Bexley,F,2014,170028.8674,9.512895169
Bexley,F,2015,185621.8652,9.170794421
Bexley,F,2016,220602.0925,18.8448851
Bexley,F,2017,233732.0434,5.951870538
Bexley,F,2018,238599.8368,2.08263845
Bexley,F,2019,230707.34,-3.307838329
Bexley,F,2020,234365.6851,1.585708188
Bexley,F,2021,265576.3759,13.31709067
Bexley,F,2022,283427.1002,6.721503096
Bexley,F,2023,265736.9177,-6.241528242
Bexley,F,2024,254995.6052,-4.042085184
Bexley,O,2013,4838601.417,
Bexley,O,2014,3326539.559,-31.24997758
Bexley,O,2015,1796903.439,-45.98280264
Bexley,O,2016,1180135.276,-34.3239458
Bexley,O,2017,640162.7099,-45.75514157
Bexley,O,2018,1056632.706,65.05689725
Bexley,O,2019,1540160.571,45.7612056
Bexley,O,2020,1620744.65,5.232186856
Bexley,O,2021,2610006.559,61.0374934
Bexley,O,2022,2225830,-14.71937142
Bexley,O,2023,1066686.342,-52.07691774
Bexley,O,2024,530186.6111,-50.29592202
Bexley,S,1995,76359.49966,
Bexley,S,1996,79287.66961,3.834716008
Bexley,S,1997,86231.76542,8.758103043
Bexley,S,1998,103719.2714,20.27965671
Bexley,S,1999,113305.4587,9.242435978
Bexley,S,2000,133957.2474,18.2266494
Bexley,S,2001,153527.1532,14.60906836
Bexley,S,2002,176471.8168,14.9450199
Bexley,S,2003,206568.9734,17.05493667
Bexley,S,2004,220271.7857,6.633528746
Bexley,S,2005,226434.0532,2.797574582
Bexley,S,2006,239313.6716,5.688021862
Bexley,S,2007,262365.6903,9.632554005
Bexley,S,2008,259820.1575,-0.970223205
Bexley,S,2009,234100.8758,-9.898878489
Bexley,S,2010,256758.3308,9.678500742
Bexley,S,2011,259332.9028,1.002721893
Bexley,S,2012,262119.0896,1.074366869
Bexley,S,2013,276237.3386,5.386196438
Bexley,S,2014,316191.9763,14.46388016
Bexley,S,2015,352317.0893,11.42505684
Bexley,S,2016,399043.5954,13.26262833
Bexley,S,2017,417922.6054,4.731064538
Bexley,S,2018,424396.3264,1.549023891
Bexley,S,2019,428413.9395,0.946665375
Bexley,S,2020,446983.839,4.334569408
Bexley,S,2021,476613.3401,6.62876338
Bexley,S,2022,507747.274,6.532325338
Bexley,S,2023,503086.8339,-0.917866112
Bexley,S,2024,490937.3798,-2.41498153
Bexley,T,1995,59876.82312,
Bexley,T,1996,61944.94887,3.453967064
Bexley,T,1997,68051.80704,9.858524837
Bexley,T,1998,75713.67564,11.25887603
Bexley,T,1999,84592.94058,11.72742555
Bexley,T,2000,101074.2181,19.48304124
Bexley,T,2001,115520.7628,14.29300671
Bexley,T,2002,138395.2867,19.80122303
Bexley,T,2003,161599.7367,16.76679208
Bexley,T,2004,174313.9642,7.867727872
Bexley,T,2005,184272.8704,5.713200406
Bexley,T,2006,194089.0319,5.326970528
Bexley,T,2007,207957.6327,7.145484063
Bexley,T,2008,208700.3719,0.357158888
Bexley,T,2009,192771.6859,-7.632322735
Bexley,T,2010,205094.8313,6.392611701
Bexley,T,2011,202032.1244,-1.493312573
Bexley,T,2012,209837.5365,3.863450982
Bexley,T,2013,222953.3769,6.250473901
Bexley,T,2014,256322.7712,14.9669831
Bexley,T,2015,290203.4235,13.21796427
Bexley,T,2016,329740.2988,13.6238487
Bexley,T,2017,337376.7791,2.315907486
Bexley,T,2018,349581.8424,3.61763586
Bexley,T,2019,347757.3255,-0.521914101
Bexley,T,2020,370481.8833,6.534602192
Bexley,T,2021,385987.3689,4.185221002
Bexley,T,2022,417882.513,8.263261105
Bexley,T,2023,409089.2002,-2.104254781
Bexley,T,2024,412319.3445,0.78959413
Brent,D,1995,157436.183,
Brent,D,1996,172094.4223,9.310591151
Brent,D,1997,208488.9837,21.14801914
Brent,D,1998,237084.9329,13.71580823
Brent,D,1999,249459.6041,5.219509745
Brent,D,2000,320427.6525,28.44871365
Brent,D,2001,375017.6629,17.0366103
Brent,D,2002,425722.1556,13.5205612
Brent,D,2003,461762.2115,8.465628465
Brent,D,2004,538460.2823,16.609863
Brent,D,2005,536900.9252,-0.289595552
Brent,D,2006,568452.8929,5.876683414
Brent,D,2007,657403.6135,15.64786137
Brent,D,2008,684069.5361,4.056248253
Brent,D,2009,704592.5676,3.000138203
Brent,D,2010,700284.2889,-0.611456731
Brent,D,2011,599225.4364,-14.43111807
Brent,D,2012,795829.8969,32.80976551
Brent,D,2013,796791.3628,0.120812994
Brent,D,2014,894002.1852,12.20028566
Brent,D,2015,1016511.198,13.70343554
Brent,D,2016,973954.0545,-4.186588782
Brent,D,2017,1080952,10.98593357
Brent,D,2018,1184130.398,9.545141501
Brent,D,2019,1152273.973,-2.690280176
Brent,D,2020,1114672.078,-3.263277274
Brent,D,2021,1102682.757,-1.075591794
Brent,D,2022,1298514.356,17.75955947
Brent,D,2023,1197922.607,-7.746679796
Brent,D,2024,1176552.955,-1.783892588
Brent,F,1995,55136.16111,
Brent,F,1996,59423.67113,7.7762215
Brent,F,1997,68375.69252,15.06473974
Brent,F,1998,80994.24455,18.45473378
Brent,F,1999,93945.84389,15.99076504
Brent,F,2000,116707.3946,24.22837433
Brent,F,2001,130730.7541,12.01582774
Brent,F,2002,158513.7724,21.25209062
Brent,F,2003,172253.2386,8.667679782
Brent,F,2004,192258.4685,11.61384833
Brent,F,2005,200381.3396,4.224974422
Brent,F,2006,212247.7798,5.921928738
Brent,F,2007,246798.0302,16.27826233
Brent,F,2008,241902.5091,-1.983614337
Brent,F,2009,233111.0436,-3.634301049
Brent,F,2010,243988.5342,4.666227056
Brent,F,2011,261926.9678,7.352162511
Brent,F,2012,283704.1773,8.314229624
Brent,F,2013,304950.4291,7.488875192
Brent,F,2014,333611.5087,9.39860282
Brent,F,2015,375925.1127,12.68349649
Brent,F,2016,410815.7639,9.281277056
Brent,F,2017,427728.1274,4.116775684
Brent,F,2018,410508.0779,-4.025933396
Brent,F,2019,378008.807,-7.916840779
Brent,F,2020,412056.0632,9.007000777
Brent,F,2021,421134.9926,2.203323832
Brent,F,2022,446203.8722,5.952694522
Brent,F,2023,432714.5655,-3.023126324
Brent,F,2024,448557.7858,3.661355903
Brent,O,2000,10000,
Brent,O,2007,359000,3490
Brent,O,2008,25000,-93.0362117
Brent,O,2009,20000,-20
Brent,O,2010,35000,75
Brent,O,2011,570000,1528.571429
Brent,O,2012,59750,-89.51754386
Brent,O,2013,618902.25,935.8196653
Brent,O,2014,3353874.882,441.9070431
Brent,O,2015,2436395.202,-27.35581119
Brent,O,2016,1360051.416,-44.17771737
Brent,O,2017,2062766.427,51.66826805
Brent,O,2018,2114946.186,2.529600959
Brent,O,2019,1975825.579,-6.57797387
Brent,O,2020,2706841.583,36.99800287
Brent,O,2021,3007247.727,11.09803195
Brent,O,2022,3889118.176,29.32483553
Brent,O,2023,1155620.204,-70.28580383
Brent,O,2024,780167.9583,-32.48924211
Brent,S,1995,99491.90394,
Brent,S,1996,101704.5805,2.223976501
Brent,S,1997,126727.4451,24.60347851
Brent,S,1998,144108.9103,13.71562816
Brent,S,1999,163039.2824,13.13615662
Brent,S,2000,195582.3922,19.96028768
Brent,S,2001,219940.0235,12.45389782
Brent,S,2002,263792.5331,19.93839452
Brent,S,2003,289752.6878,9.841125702
Brent,S,2004,315774.052,8.980542802
Brent,S,2005,338990.9074,7.352363269
Brent,S,2006,362807.4803,7.025726184
Brent,S,2007,402067.811,10.82125721
Brent,S,2008,398211.2423,-0.959183649
Brent,S,2009,383579.1922,-3.674444245
Brent,S,2010,462908.7697,20.68140795
Brent,S,2011,445487.7889,-3.763372399
Brent,S,2012,468041.1165,5.062614107
Brent,S,2013,531060.3079,13.46445625
Brent,S,2014,561926.112,5.812109028
Brent,S,2015,620481.1399,10.42041412
Brent,S,2016,704362.6974,13.51879246
Brent,S,2017,734720.1347,4.309915535
Brent,S,2018,689467.3812,-6.159182437
Brent,S,2019,717826.426,4.113181498
Brent,S,2020,726860.5365,1.258536914
Brent,S,2021,759960.9288,4.553884911
Brent,S,2022,842328.1285,10.83834663
Brent,S,2023,813262.1388,-3.450673051
Brent,S,2024,770178.1192,-5.297679254
Brent,T,1995,82015.98971,
Brent,T,1996,89836.36032,9.535178002
Brent,T,1997,105595.4944,17.54204422
Brent,T,1998,127737.2976,20.96851133
Brent,T,1999,141418.384,10.71033024
Brent,T,2000,181298.5954,28.20016057
Brent,T,2001,198342.8819,9.401223713
Brent,T,2002,240270.9152,21.13916711
Brent,T,2003,271342.4635,12.93188079
Brent,T,2004,297990.7681,9.820912031
Brent,T,2005,319340.7798,7.164655387
Brent,T,2006,328891.9642,2.990906584
Brent,T,2007,389887.1133,18.54564896
Brent,T,2008,413134.8872,5.962693589
Brent,T,2009,389766.8438,-5.656274522
Brent,T,2010,443167.2343,13.70059852
Brent,T,2011,456099.0906,2.91805334
Brent,T,2012,516077.8923,13.15038837
Brent,T,2013,591943.5189,14.70042172
Brent,T,2014,656268.4614,10.86673652
Brent,T,2015,708832.8523,8.009586614
Brent,T,2016,710017.865,0.167178025
Brent,T,2017,762339.334,7.36903556
Brent,T,2018,762309.5711,-0.003904147
Brent,T,2019,763066.973,0.09935621
Brent,T,2020,783227.1646,2.64199504
Brent,T,2021,802912.3586,2.51334413
Brent,T,2022,911279.5866,13.49676921
Brent,T,2023,885751.3647,-2.80136001
Brent,T,2024,924745.4798,4.402377085
Brentwood,D,1997,175000,
Brighton And Hove,F,2020,285000,
Bromley,D,1995,175929.3572,
Bromley,D,1996,186186.851,5.830461676
Bromley,D,1997,209374.116,12.45376078
Bromley,D,1998,243042.7433,16.08060631
Bromley,D,1999,282568.6736,16.26295429
Bromley,D,2000,348628.4226,23.37829886
Bromley,D,2001,357200.5282,2.458808608
Bromley,D,2002,400983.964,12.25738271
Bromley,D,2003,448165.8059,11.76651589
Bromley,D,2004,484071.5413,8.011707931
Bromley,D,2005,496822.2885,2.634062565
Bromley,D,2006,530161.3579,6.710461707
Bromley,D,2007,608630.5381,14.80099954
Bromley,D,2008,606232.4354,-0.394016167
Bromley,D,2009,579197.4667,-4.459505487
Bromley,D,2010,595002.887,2.728848314
Bromley,D,2011,626129.3087,5.231306002
Bromley,D,2012,613855.7053,-1.960234604
Bromley,D,2013,650077.6359,5.900723949
Bromley,D,2014,720897.5368,10.89406817
Bromley,D,2015,787502.6667,9.239195102
Bromley,D,2016,823651.6197,4.590327703
Bromley,D,2017,859839.2567,4.393561072
Bromley,D,2018,845008.3127,-1.724850767
Bromley,D,2019,841225.7304,-0.447638466
Bromley,D,2020,880741.6173,4.697417759
Bromley,D,2021,971146.6735,10.26465134
Bromley,D,2022,1073291.065,10.51791605
Bromley,D,2023,1019898.002,-4.974704945
Bromley,D,2024,959955.8253,-5.87727167
Bromley,F,1995,54317.31936,
Bromley,F,1996,54648.65971,0.610008657
Bromley,F,1997,59814.53833,9.452891712
Bromley,F,1998,71140.10373,18.93446929
Bromley,F,1999,82262.36314,15.63430306
Bromley,F,2000,101779.9,23.7259618
Bromley,F,2001,115489.1478,13.46950409
Bromley,F,2002,138077.5153,19.55886587
Bromley,F,2003,161651.5889,17.07307196
Bromley,F,2004,180963.868,11.94685392
Bromley,F,2005,184389.0079,1.892720301
Bromley,F,2006,191696.4986,3.963083687
Bromley,F,2007,209619.2418,9.349541244
Bromley,F,2008,208339.5639,-0.610477295
Bromley,F,2009,192107.0711,-7.791363537
Bromley,F,2010,204677.0855,6.543233585
Bromley,F,2011,205194.0917,0.252596022
Bromley,F,2012,211308.7663,2.979946742
Bromley,F,2013,223669.5377,5.849625454
Bromley,F,2014,258181.6864,15.42997274
Bromley,F,2015,287767.7176,11.45938414
Bromley,F,2016,326088.0548,13.3164128
Bromley,F,2017,333740.66,2.346791028
Bromley,F,2018,335024.1214,0.384568475
Bromley,F,2019,335709.02,0.204432633
Bromley,F,2020,335425.1777,-0.084550116
Bromley,F,2021,345893.504,3.120912516
Bromley,F,2022,352533.8422,1.919763768
Bromley,F,2023,339916.1308,-3.579148972
Bromley,F,2024,342855.0048,0.864587975
Bromley,O,2007,187000,
Bromley,O,2013,1311456.6,601.3136898
Bromley,O,2014,1519115.17,15.83419305
Bromley,O,2015,2054996.417,35.27588016
Bromley,O,2016,3332492.529,62.16536936
Bromley,O,2017,1247264.265,-62.57263132
Bromley,O,2018,1437763.617,15.27337529
Bromley,O,2019,1196518.776,-16.77917277
Bromley,O,2020,1158994.369,-3.1361319
Bromley,O,2021,1287168.845,11.05911124
Bromley,O,2022,1043738.2,-18.91209891
Bromley,O,2023,1229010.347,17.75082556
