Unnamed: 0,X.5BBE9CB3.6332.4EB0.9CD3.8737CEA4A65A.,X42000,Date,NE4.9DN,S,N,F,X8,Unnamed..8,MATFEN.PLACE,FENHAM,NEWCASTLE.UPON.TYNE,NEWCASTLE.UPON.TYNE.1,TYNE.AND.WEAR,A,A.1,Quarter,Education.Growth.Rate,Bank.Growth.Rate,GDP.Growth.Rate
3780078,{2859C1AC-9130-52B4-E063-4804A8C05948},530000,2024-06-10 00:00,SW18 4GS,F,N,L,"LUCENT HOUSE, 11",11,HARDWICKS SQUARE,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780079,{2859C1AC-9131-52B4-E063-4804A8C05948},443000,2024-10-04 00:00,SE16 3GB,F,N,L,"OCKHAM BUILDING, 9",FLAT 17,ARTS LANE,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780080,{2859C1AC-9132-52B4-E063-4804A8C05948},400000,2024-08-02 00:00,SE3 8RN,F,N,L,126C,,SHOOTERS HILL ROAD,,LONDON,GREENWICH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780081,{2859C1AC-9133-52B4-E063-4804A8C05948},565500,2024-07-25 00:00,SW18 4PY,F,N,L,95,,PENWITH ROAD,EARLSFIELD,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780082,{2859C1AC-9134-52B4-E063-4804A8C05948},620000,2024-11-01 00:00,SE16 3FL,F,N,L,130,FLAT 34,SPA ROAD,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780083,{2859C1AC-9136-52B4-E063-4804A8C05948},875000,2024-11-01 00:00,SE16 3FL,F,N,L,130,FLAT 27,SPA ROAD,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780084,{2859C1AC-9137-52B4-E063-4804A8C05948},341000,2024-10-30 00:00,SE13 7PL,F,N,L,61,FLAT F,LEWISHAM HILL,,LONDON,LEWISHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780085,{2859C1AC-9138-52B4-E063-4804A8C05948},402000,2024-10-18 00:00,SE7 7FT,F,N,L,84,FLAT 16,FAIRTHORN ROAD,,LONDON,GREENWICH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780086,{2859C1AC-9139-52B4-E063-4804A8C05948},415000,2024-10-15 00:00,SW9 6BW,F,N,L,67,FLAT 10,COWLEY ROAD,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780087,{2859C1AC-913A-52B4-E063-4804A8C05948},438500,2024-10-29 00:00,SW9 6FJ,F,N,L,16,FLAT 20,BRAMAH ROAD,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780088,{2859C1AC-913B-52B4-E063-4804A8C05948},440000,2024-11-13 00:00,RM6 6ND,S,N,F,3,,CROMER ROAD,CHADWELL HEATH,ROMFORD,BARKING AND DAGENHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780089,{2859C1AC-913C-52B4-E063-4804A8C05948},675000,2024-11-08 00:00,SW12 9RF,F,N,L,"WESTWOOD HOUSE, 47",FLAT 17,OLD DEVONSHIRE ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780090,{2859C1AC-913D-52B4-E063-4804A8C05948},595000,2024-05-29 00:00,SW18 1HG,F,N,L,23,APARTMENT 17,OSIERS ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780091,{2859C1AC-913E-52B4-E063-4804A8C05948},490000,2024-09-20 00:00,SW12 0FD,F,N,L,5,FLAT 1,LIMERICK CLOSE,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780092,{2859C1AC-913F-52B4-E063-4804A8C05948},770000,2024-10-30 00:00,SW15 1RL,F,N,L,62,GROUND FLOOR FLAT,CHELVERTON ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780093,{2859C1AC-9140-52B4-E063-4804A8C05948},450000,2024-08-01 00:00,TW11 0QD,F,N,L,58,FIRST FLOOR MAISONETTE AT,KINGS ROAD,,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780094,{2859C1AC-9141-52B4-E063-4804A8C05948},482500,2024-11-13 00:00,SW12 0BQ,F,N,L,1,FLAT 12,LIMERICK CLOSE,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780095,{2859C1AC-9142-52B4-E063-4804A8C05948},440000,2024-07-26 00:00,SE16 7PT,F,N,L,168,,BRUNSWICK QUAY,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780096,{2859C1AC-9143-52B4-E063-4804A8C05948},367000,2024-06-28 00:00,SW18 4GL,F,N,L,"BEACON TOWER, 1",4,SPECTRUM WAY,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780097,{2859C1AC-9144-52B4-E063-4804A8C05948},318000,2024-03-22 00:00,SW8 2DB,F,N,L,100,,THORNE ROAD,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780098,{2859C1AC-9145-52B4-E063-4804A8C05948},387000,2024-10-08 00:00,SE18 7RL,F,N,L,7C,,ST MARGARETS GROVE,,LONDON,GREENWICH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780099,{2859C1AC-9146-52B4-E063-4804A8C05948},555000,2024-11-15 00:00,SW18 4GL,F,N,L,"BEACON TOWER, 1",14,SPECTRUM WAY,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780100,{152AB733-777C-E651-E063-4704A8C061D9},340000,2024-01-05 00:00,HA4 7GN,F,N,L,"PARK WOOD COURT, 5",FLAT 15,RESERVOIR ROAD,,RUISLIP,HILLINGDON,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780101,{152AB733-777E-E651-E063-4704A8C061D9},400000,2024-02-16 00:00,NW9 5HG,F,N,L,"CRAWFORD COURT, 7",FLAT 67,CHARCOT ROAD,,LONDON,BARNET,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780102,{152AB733-7780-E651-E063-4704A8C061D9},475000,2024-01-18 00:00,EC2A 4AD,F,N,L,"CHAMBERLAIN HOUSE, 1",FLAT 5,BLACKALL STREET,,LONDON,HACKNEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780103,{152AB733-7781-E651-E063-4704A8C061D9},383500,2024-03-07 00:00,N7 9TA,F,N,L,26,,STURMER WAY,,LONDON,ISLINGTON,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780104,{152AB733-7784-E651-E063-4704A8C061D9},430000,2024-02-16 00:00,HA6 1EP,T,N,F,33,,BENNETT CLOSE,,NORTHWOOD,HILLINGDON,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780105,{152AB733-778C-E651-E063-4704A8C061D9},390000,2024-02-09 00:00,E17 3LR,F,N,L,388,,STOCKSFIELD ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780106,{152AB733-778F-E651-E063-4704A8C061D9},950000,2024-02-29 00:00,N8 8EH,F,N,L,9A,,COLERIDGE ROAD,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780107,{152AB733-7791-E651-E063-4704A8C061D9},306500,2024-03-01 00:00,E10 5AR,F,N,L,"LORD CLYDE APARTMENTS, 175",8,CAPWORTH STREET,,LONDON,WALTHAM FOREST,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
